,Sub,HRU1,Area.ha.Input.std,Slope,SlpLgth.m.,Ovrlnd_N,CondII_CN,TimeConc.hr.,ESCO,EPCO,sub,HRU2,input.std.area.ha,LULC,Sub.1,HRU3,Area_ha,SoilName,Hydgrp,MaxRtDpth_mm,Albedo,USLE_K,USLE_P,USLE_LS,ProfileAWC_mm,IniSoilH2O_mm,CheckPart1VsPart2,CheckPart1VsPart3,AreaTimesSWATCN2
923,3,923,1.86,0.085,60.98,0.1,93.89,0.347,0.91,0.57,3,923,1.86,BERM,3,923,1.86,Narragansett,B,1650,0.23,0,1,1.64,330,207.167,TRUE,TRUE,174.6354
924,3,924,1.11,0.032,91.46,0.1,93.89,0.591,0.91,0.57,3,924,1.11,BERM,3,924,1.11,Narragansett,B,1650,0.23,0,1,0.5,330,207.167,TRUE,TRUE,104.2179
925,3,925,0.74,0.158,24.39,0.1,93.89,0.166,0.91,0.57,3,925,0.74,BERM,3,925,0.74,Narragansett,B,1650,0.23,0,1,2.51,330,207.167,TRUE,TRUE,69.4786
926,3,926,0.46,0.018,121.95,0.1,93.89,0.833,0.91,0.57,3,926,0.46,BERM,3,926,0.46,Scio,B,1650,0.23,0.49,1,0.27,330,207.167,TRUE,TRUE,43.1894
927,3,927,0.09,0.047,91.46,0.1,91.45,0.525,0.91,0.57,3,927,0.09,BERM,3,927,0.09,Hinckley,A,1650,0.3,0.24,1,0.85,363,227.884,TRUE,TRUE,8.2305
928,3,928,0.09,0.098,60.98,0.1,91.45,0.33,0.91,0.57,3,928,0.09,BERM,3,928,0.09,Hinckley,A,1650,0.3,0.24,1,2.04,363,227.884,TRUE,TRUE,8.2305
929,3,929,0.09,0.019,121.95,0.1,91.45,0.819,0.91,0.57,3,929,0.09,BERM,3,929,0.09,Merrimac,A,1650,0.3,0.32,1,0.29,363,227.884,TRUE,TRUE,8.2305
930,3,930,0.09,0.006,121.95,0.1,93.89,1.157,0.91,0.57,3,930,0.09,BERM,3,930,0.09,Tisbury,B,1650,0.44,0.49,1,0.12,330,207.167,TRUE,TRUE,8.4501
931,3,931,0.09,0.052,60.98,0.1,95.34,0.4,0.91,0.57,3,931,0.09,BERM,3,931,0.09,Montauk,C,1650,0.3,0.28,1,0.8,280.5,176.092,TRUE,TRUE,8.5806
932,3,932,0.19,0.023,91.46,0.1,95.34,0.651,0.91,0.57,3,932,0.19,BERM,3,932,0.19,Woodbridge,C,1650,0.16,0,1,0.33,280.5,176.092,TRUE,TRUE,18.1146
