index,flow_cms,date,day,month,year
1,12.2611744,37408,1,6,2002
2,10.9586016,37409,2,6,2002
3,8.8631584,37410,3,6,2002
4,6.7110816,37411,4,6,2002
5,6.7393984,37412,5,6,2002
6,8.7498912,37413,6,6,2002
7,12.0063232,37414,7,6,2002
8,12.2894912,37415,8,6,2002
9,11.7797888,37416,9,6,2002
10,11.1001856,37417,10,6,2002
11,10.3922656,37418,11,6,2002
12,10.7037504,37419,12,6,2002
13,10.760384,37420,13,6,2002
14,9.8542464,37421,14,6,2002
15,9.4294944,37422,15,6,2002
16,9.5710784,37423,16,6,2002
17,9.9675136,37424,17,6,2002
18,10.2223648,37425,18,6,2002
19,9.5993952,37426,19,6,2002
20,9.5144448,37427,20,6,2002
21,8.8631584,37428,21,6,2002
22,8.0986048,37429,22,6,2002
23,7.8154368,37430,23,6,2002
24,6.7393984,37431,24,6,2002
25,5.66336,37432,25,6,2002
26,5.0403904,37433,26,6,2002
27,5.0687072,37434,27,6,2002
28,4.8704896,37435,28,6,2002
29,3.5679168,37436,29,6,2002
30,3.3413824,37437,30,6,2002
31,3.114848,37438,1,7,2002
32,2.8883136,37439,2,7,2002
33,2.8033632,37440,3,7,2002
34,2.59381888,37441,4,7,2002
35,2.30498752,37442,5,7,2002
36,2.19172032,37443,6,7,2002
37,2.14075008,37444,7,7,2002
38,2.00766112,37445,8,7,2002
39,1.88873056,37446,9,7,2002
40,2.76371968,37447,10,7,2002
41,2.35595776,37448,11,7,2002
42,1.6848496,37449,12,7,2002
43,1.71033472,37450,13,7,2002
44,1.7131664,37451,14,7,2002
45,1.70183968,37452,15,7,2002
46,2.34746272,37453,16,7,2002
47,2.31065088,37454,17,7,2002
48,1.83209696,37455,18,7,2002
49,1.49795872,37456,19,7,2002
50,1.69617632,37457,20,7,2002
51,1.80094848,37458,21,7,2002
52,1.6565328,37459,22,7,2002
53,1.628216,37460,23,7,2002
54,1.91987904,37461,24,7,2002
55,1.41300832,37462,25,7,2002
56,1.33938464,37463,26,7,2002
57,1.36486976,37464,27,7,2002
58,1.35071136,37465,28,7,2002
59,1.4299984,37466,29,7,2002
60,1.24310752,37467,30,7,2002
61,1.13833536,37468,31,7,2002
62,1.14966208,37469,1,8,2002
63,1.18081056,37470,2,8,2002
64,1.15815712,37471,3,8,2002
65,1.08170176,37472,4,8,2002
66,1.02223648,37473,5,8,2002
67,0.9627712,37474,6,8,2002
68,0.95993952,37475,7,8,2002
69,0.96843456,37476,8,8,2002
70,0.96843456,37477,9,8,2002
71,0.94578112,37478,10,8,2002
72,0.920296,37479,11,8,2002
73,0.88631584,37480,12,8,2002
74,0.85799904,37481,13,8,2002
75,0.84384064,37482,14,8,2002
76,0.80419712,37483,15,8,2002
77,0.74190016,37484,16,8,2002
78,0.68526656,37485,17,8,2002
79,0.637128,37486,18,8,2002
80,0.566336,37487,19,8,2002
81,0.56067264,37488,20,8,2002
82,0.53518752,37489,21,8,2002
83,0.50403904,37490,22,8,2002
84,0.48988064,37491,23,8,2002
85,0.48421728,37492,24,8,2002
86,0.4813856,37493,25,8,2002
87,0.4813856,37494,26,8,2002
88,0.4672272,37495,27,8,2002
89,0.45590048,37496,28,8,2002
90,0.71358336,37497,29,8,2002
91,1.25443424,37498,30,8,2002
92,0.98542464,37499,31,8,2002
93,0.8070288,37500,1,9,2002
94,0.849504,37501,2,9,2002
95,1.36486976,37502,3,9,2002
96,1.05338496,37503,4,9,2002
97,1.12984032,37504,5,9,2002
98,1.3733648,37505,6,9,2002
99,1.46114688,37506,7,9,2002
100,1.41017664,37507,8,9,2002
101,1.25160256,37508,9,9,2002
102,1.23461248,37509,10,9,2002
103,2.8883136,37510,11,9,2002
104,3.114848,37511,12,9,2002
105,1.23744416,37512,13,9,2002
106,0.89481088,37513,14,9,2002
107,0.82968224,37514,15,9,2002
108,1.01657312,37515,16,9,2002
109,0.88348416,37516,17,9,2002
110,0.73906848,37517,18,9,2002
111,0.72491008,37518,19,9,2002
112,0.94578112,37519,20,9,2002
113,1.345048,37520,21,9,2002
114,1.5007904,37521,22,9,2002
115,2.65045248,37522,23,9,2002
116,1.29124608,37523,24,9,2002
117,1.274256,37524,25,9,2002
118,1.38185984,37525,26,9,2002
119,1.98783936,37526,27,9,2002
120,2.46639328,37527,28,9,2002
121,2.42958144,37528,29,9,2002
122,2.1096016,37529,30,9,2002
123,1.32522624,37530,1,10,2002
124,1.53193888,37531,2,10,2002
125,1.61122592,37532,3,10,2002
126,1.5715824,37533,4,10,2002
127,1.58290912,37534,5,10,2002
128,1.40734496,37535,6,10,2002
129,1.35071136,37536,7,10,2002
130,1.22328576,37537,8,10,2002
131,1.11568192,37538,9,10,2002
132,1.03639488,37539,10,10,2002
133,0.98825632,37540,11,10,2002
134,1.13833536,37541,12,10,2002
135,1.26859264,37542,13,10,2002
136,1.345048,37543,14,10,2002
137,1.30823616,37544,15,10,2002
138,1.91421568,37545,16,10,2002
139,3.2281152,37546,17,10,2002
140,2.59948224,37547,18,10,2002
141,1.73581984,37548,19,10,2002
142,2.33047264,37549,20,10,2002
143,2.5768288,37550,21,10,2002
144,2.28516576,37551,22,10,2002
145,2.42958144,37552,23,10,2002
146,2.3078192,37553,24,10,2002
147,1.92271072,37554,25,10,2002
148,3.964352,37555,26,10,2002
149,5.2952416,37556,27,10,2002
150,4.7855392,37557,28,10,2002
151,5.238608,37558,29,10,2002
152,5.1536576,37559,30,10,2002
153,4.95544,37560,31,10,2002
154,4.5873216,37561,1,11,2002
155,4.0209856,37562,2,11,2002
156,3.5962336,37563,3,11,2002
157,3.2847488,37564,4,11,2002
158,3.0298976,37565,5,11,2002
159,4.3607872,37566,6,11,2002
160,4.6156384,37567,7,11,2002
161,4.5590048,37568,8,11,2002
162,4.6156384,37569,9,11,2002
163,4.7289056,37570,10,11,2002
164,4.7855392,37571,11,11,2002
165,5.0403904,37572,12,11,2002
166,8.0986048,37573,13,11,2002
167,8.1552384,37574,14,11,2002
168,8.4100896,37575,15,11,2002
169,8.919792,37576,16,11,2002
170,14.4982016,37577,17,11,2002
171,15.9706752,37578,18,11,2002
172,14.4132512,37579,19,11,2002
173,14.016816,37580,20,11,2002
174,13.9884992,37581,21,11,2002
175,15.6308736,37582,22,11,2002
176,14.9795872,37583,23,11,2002
177,14.1017664,37584,24,11,2002
178,13.3938464,37585,25,11,2002
179,12.8275104,37586,26,11,2002
180,12.5726592,37587,27,11,2002
