precip,date,month,day,year
0,6/1/89,6,1,1989
0.8,6/2/89,6,2,1989
0,6/3/89,6,3,1989
0,6/4/89,6,4,1989
0,6/5/89,6,5,1989
0,6/6/89,6,6,1989
0.8,6/7/89,6,7,1989
0,6/8/89,6,8,1989
0.3,6/9/89,6,9,1989
0,6/10/89,6,10,1989
0,6/11/89,6,11,1989
0,6/12/89,6,12,1989
0,6/13/89,6,13,1989
0,6/14/89,6,14,1989
0,6/15/89,6,15,1989
0,6/16/89,6,16,1989
0,6/17/89,6,17,1989
0.8,6/18/89,6,18,1989
0,6/19/89,6,19,1989
0,6/20/89,6,20,1989
0,6/21/89,6,21,1989
0,6/22/89,6,22,1989
0,6/23/89,6,23,1989
0,6/24/89,6,24,1989
0,6/25/89,6,25,1989
0,6/26/89,6,26,1989
0,6/27/89,6,27,1989
1.8,6/28/89,6,28,1989
13,6/29/89,6,29,1989
5.3,6/30/89,6,30,1989
1.5,7/1/89,7,1,1989
16.8,7/2/89,7,2,1989
0,7/3/89,7,3,1989
0,7/4/89,7,4,1989
0,7/5/89,7,5,1989
12.2,7/6/89,7,6,1989
0,7/7/89,7,7,1989
0,7/8/89,7,8,1989
0,7/9/89,7,9,1989
3.6,7/10/89,7,10,1989
0,7/11/89,7,11,1989
0,7/12/89,7,12,1989
0,7/13/89,7,13,1989
0,7/14/89,7,14,1989
0,7/15/89,7,15,1989
0,7/16/89,7,16,1989
0,7/17/89,7,17,1989
0.8,7/18/89,7,18,1989
20.8,7/19/89,7,19,1989
0.5,7/20/89,7,20,1989
0,7/21/89,7,21,1989
0,7/22/89,7,22,1989
3.3,7/23/89,7,23,1989
0,7/24/89,7,24,1989
0.8,7/25/89,7,25,1989
0.3,7/26/89,7,26,1989
0,7/27/89,7,27,1989
0.8,7/28/89,7,28,1989
0,7/29/89,7,29,1989
0,7/30/89,7,30,1989
0,7/31/89,7,31,1989
0,8/1/89,8,1,1989
0,8/2/89,8,2,1989
0,8/3/89,8,3,1989
0,8/4/89,8,4,1989
0.8,8/5/89,8,5,1989
0,8/6/89,8,6,1989
3.6,8/7/89,8,7,1989
5.8,8/8/89,8,8,1989
0,8/9/89,8,9,1989
0,8/10/89,8,10,1989
0,8/11/89,8,11,1989
6.6,8/12/89,8,12,1989
0,8/13/89,8,13,1989
3.8,8/14/89,8,14,1989
3.3,8/15/89,8,15,1989
0,8/16/89,8,16,1989
0,8/17/89,8,17,1989
1.8,8/18/89,8,18,1989
0,8/19/89,8,19,1989
0,8/20/89,8,20,1989
1.8,8/21/89,8,21,1989
1.5,8/22/89,8,22,1989
0,8/23/89,8,23,1989
0,8/24/89,8,24,1989
0,8/25/89,8,25,1989
0,8/26/89,8,26,1989
1,8/27/89,8,27,1989
0.8,8/28/89,8,28,1989
0,8/29/89,8,29,1989
3.8,8/30/89,8,30,1989
0,8/31/89,8,31,1989
0,9/1/89,9,1,1989
0,9/2/89,9,2,1989
0,9/3/89,9,3,1989
0,9/4/89,9,4,1989
0,9/5/89,9,5,1989
1.3,9/6/89,9,6,1989
1.3,9/7/89,9,7,1989
1,9/8/89,9,8,1989
0.3,9/9/89,9,9,1989
20.1,9/10/89,9,10,1989
87.6,9/11/89,9,11,1989
0,9/12/89,9,12,1989
0,9/13/89,9,13,1989
0,9/14/89,9,14,1989
1,9/15/89,9,15,1989
26.4,9/16/89,9,16,1989
75.7,9/17/89,9,17,1989
0,9/18/89,9,18,1989
0,9/19/89,9,19,1989
0,9/20/89,9,20,1989
0,9/21/89,9,21,1989
3.3,9/22/89,9,22,1989
3,9/23/89,9,23,1989
0,9/24/89,9,24,1989
0.3,9/25/89,9,25,1989
0,9/26/89,9,26,1989
0,9/27/89,9,27,1989
0,9/28/89,9,28,1989
0,9/29/89,9,29,1989
15.2,9/30/89,9,30,1989
0,10/1/89,10,1,1989
0,10/2/89,10,2,1989
0,10/3/89,10,3,1989
14.2,10/4/89,10,4,1989
0,10/5/89,10,5,1989
0,10/6/89,10,6,1989
0,10/7/89,10,7,1989
0,10/8/89,10,8,1989
4.3,10/9/89,10,9,1989
2.8,10/10/89,10,10,1989
2,10/11/89,10,11,1989
0,10/12/89,10,12,1989
0,10/13/89,10,13,1989
4.8,10/14/89,10,14,1989
0,10/15/89,10,15,1989
0,10/16/89,10,16,1989
0,10/17/89,10,17,1989
14.7,10/18/89,10,18,1989
0,10/19/89,10,19,1989
18.3,10/20/89,10,20,1989
3.3,10/21/89,10,21,1989
0,10/22/89,10,22,1989
33.3,10/23/89,10,23,1989
0,10/24/89,10,24,1989
0,10/25/89,10,25,1989
0,10/26/89,10,26,1989
0,10/27/89,10,27,1989
0,10/28/89,10,28,1989
0,10/29/89,10,29,1989
0,10/30/89,10,30,1989
0,10/31/89,10,31,1989
0,11/1/89,11,1,1989
0,11/2/89,11,2,1989
15,11/3/89,11,3,1989
0,11/4/89,11,4,1989
0,11/5/89,11,5,1989
0,11/6/89,11,6,1989
0,11/7/89,11,7,1989
0,11/8/89,11,8,1989
0,11/9/89,11,9,1989
0,11/10/89,11,10,1989
1.5,11/11/89,11,11,1989
0,11/12/89,11,12,1989
5.3,11/13/89,11,13,1989
3.3,11/14/89,11,14,1989
0,11/15/89,11,15,1989
0,11/16/89,11,16,1989
0,11/17/89,11,17,1989
0,11/18/89,11,18,1989
0,11/19/89,11,19,1989
0,11/20/89,11,20,1989
5.6,11/21/89,11,21,1989
0,11/22/89,11,22,1989
0,11/23/89,11,23,1989
0.8,11/24/89,11,24,1989
1.3,11/25/89,11,25,1989
5.8,11/26/89,11,26,1989
0,11/27/89,11,27,1989
0,11/28/89,11,28,1989
0,11/29/89,11,29,1989
0,11/30/89,11,30,1989
0,6/1/90,6,1,1990
0,6/2/90,6,2,1990
1,6/3/90,6,3,1990
0,6/4/90,6,4,1990
0,6/5/90,6,5,1990
0,6/6/90,6,6,1990
10.2,6/7/90,6,7,1990
13.7,6/8/90,6,8,1990
0.5,6/9/90,6,9,1990
0,6/10/90,6,10,1990
0,6/11/90,6,11,1990
0.5,6/12/90,6,12,1990
9.7,6/13/90,6,13,1990
1.3,6/14/90,6,14,1990
0,6/15/90,6,15,1990
0.5,6/16/90,6,16,1990
0,6/17/90,6,17,1990
6.4,6/18/90,6,18,1990
2.8,6/19/90,6,19,1990
0,6/20/90,6,20,1990
0.3,6/21/90,6,21,1990
1.8,6/22/90,6,22,1990
8.9,6/23/90,6,23,1990
0,6/24/90,6,24,1990
0,6/25/90,6,25,1990
7.4,6/26/90,6,26,1990
0.3,6/27/90,6,27,1990
0,6/28/90,6,28,1990
0,6/29/90,6,29,1990
0,6/30/90,6,30,1990
2.3,7/1/90,7,1,1990
0,7/2/90,7,2,1990
0.3,7/3/90,7,3,1990
0.5,7/4/90,7,4,1990
0,7/5/90,7,5,1990
0,7/6/90,7,6,1990
0,7/7/90,7,7,1990
1,7/8/90,7,8,1990
0,7/9/90,7,9,1990
13,7/10/90,7,10,1990
1,7/11/90,7,11,1990
0,7/12/90,7,12,1990
0,7/13/90,7,13,1990
0,7/14/90,7,14,1990
7.1,7/15/90,7,15,1990
0.3,7/16/90,7,16,1990
70.9,7/17/90,7,17,1990
0,7/18/90,7,18,1990
9.7,7/19/90,7,19,1990
