index,date,flow ,flow (mm/sec),day,month,year
1,1/1/02,0.5804944,3.25E-20,1,1,2002
2,1/2/02,0.52952416,2.97E-20,2,1,2002
3,1/3/02,0.495544,2.78E-20,3,1,2002
4,1/4/02,0.4813856,2.70E-20,4,1,2002
5,1/5/02,0.4530688,2.54E-20,5,1,2002
6,1/6/02,0.4530688,2.54E-20,6,1,2002
7,1/7/02,0.50120736,2.81E-20,7,1,2002
8,1/8/02,0.61447456,3.44E-20,8,1,2002
9,1/9/02,0.63146464,3.54E-20,9,1,2002
10,1/10/02,0.64562304,3.62E-20,10,1,2002
11,1/11/02,0.67393984,3.77E-20,11,1,2002
12,1/12/02,0.67677152,3.79E-20,12,1,2002
13,1/13/02,0.88065248,4.93E-20,13,1,2002
14,1/14/02,1.04488992,5.85E-20,14,1,2002
15,1/15/02,0.96843456,5.42E-20,15,1,2002
16,1/16/02,0.87498912,4.90E-20,16,1,2002
17,1/17/02,0.8070288,4.52E-20,17,1,2002
18,1/18/02,0.75889024,4.25E-20,18,1,2002
19,1/19/02,0.6796032,3.81E-20,19,1,2002
20,1/20/02,0.69092992,3.87E-20,20,1,2002
21,1/21/02,0.66261312,3.71E-20,21,1,2002
22,1/22/02,0.65694976,3.68E-20,22,1,2002
23,1/23/02,0.65978144,3.70E-20,23,1,2002
24,1/24/02,0.75605856,4.23E-20,24,1,2002
25,1/25/02,1.01374144,5.68E-20,25,1,2002
26,1/26/02,1.14399872,6.41E-20,26,1,2002
27,1/27/02,1.22328576,6.85E-20,27,1,2002
28,1/28/02,1.14399872,6.41E-20,28,1,2002
29,1/29/02,1.11568192,6.25E-20,29,1,2002
30,1/30/02,1.44132512,8.07E-20,30,1,2002
31,1/31/02,1.68201792,9.42E-20,31,1,2002
32,2/1/02,1.4299984,8.01E-20,1,2,2002
33,2/2/02,1.46681024,8.22E-20,2,2,2002
34,2/3/02,1.3875232,7.77E-20,3,2,2002
35,2/4/02,1.2317808,6.90E-20,4,2,2002
36,2/5/02,1.11001856,6.22E-20,5,2,2002
37,2/6/02,0.99391968,5.57E-20,6,2,2002
38,2/7/02,0.95710784,5.36E-20,7,2,2002
39,2/8/02,0.91463264,5.12E-20,8,2,2002
40,2/9/02,0.8778208,4.92E-20,9,2,2002
41,2/10/02,0.7928704,4.44E-20,10,2,2002
42,2/11/02,1.486632,8.33E-20,11,2,2002
43,2/12/02,1.70750304,9.56E-20,12,2,2002
44,2/13/02,1.78962176,1.00E-19,13,2,2002
45,2/14/02,1.43283008,8.02E-20,14,2,2002
