index,date,flow ,,,,,
1,2002-01-01,0.5804944,,,,,
2,2002-01-02,0.52952416,,,,,
3,2002-01-03,0.495544,,,,,
4,2002-01-04,0.4813856,,,,,
5,2002-01-05,0.4530688,,,,,
6,2002-01-06,0.4530688,,,,,
7,2002-01-07,0.50120736,,,,,
8,2002-01-08,0.61447456,,,,,
9,2002-01-09,0.63146464,,,,,
10,2002-01-10,0.64562304,,,,,
11,2002-01-11,0.67393984,,,,,
12,2002-01-12,0.67677152,,,,,
13,2002-01-13,0.88065248,,,,,
14,2002-01-14,1.04488992,,,,,
15,2002-01-15,0.96843456,,,,,
16,2002-01-16,0.87498912,,,,,
17,2002-01-17,0.8070288,,,,,
18,2002-01-18,0.75889024,,,,,
19,2002-01-19,0.6796032,,,,,
20,2002-01-20,0.69092992,,,,,
21,2002-01-21,0.66261312,,,,,
22,2002-01-22,0.65694976,,,,,
23,2002-01-23,0.65978144,,,,,
24,2002-01-24,0.75605856,,,,,
25,2002-01-25,1.01374144,,,,,
26,2002-01-26,1.14399872,,,,,
27,2002-01-27,1.22328576,,,,,
28,2002-01-28,1.14399872,,,,,
29,2002-01-29,1.11568192,,,,,
30,2002-01-30,1.44132512,,,,,
31,2002-01-31,1.68201792,,,,,
32,2002-02-01,1.4299984,,,,,
33,2002-02-02,1.46681024,,,,,
34,2002-02-03,1.3875232,,,,,
35,2002-02-04,1.2317808,,,,,
36,2002-02-05,1.11001856,,,,,
37,2002-02-06,0.99391968,,,,,
38,2002-02-07,0.95710784,,,,,
39,2002-02-08,0.91463264,,,,,
40,2002-02-09,0.8778208,,,,,
41,2002-02-10,0.7928704,,,,,
42,2002-02-11,1.486632,,,,,
43,2002-02-12,1.70750304,,,,,
44,2002-02-13,1.78962176,,,,,
45,2002-02-14,1.43283008,,,,,
46,2002-02-15,1.22328576,,,,,
47,2002-02-16,1.18364224,,,,,
48,2002-02-17,1.32239456,,,,,
49,2002-02-18,1.36486976,,,,,
50,2002-02-19,1.26859264,,,,,
51,2002-02-20,1.3025728,,,,,
52,2002-02-21,1.982176,,,,,
53,2002-02-22,3.0298976,,,,,
54,2002-02-23,3.3696992,,,,,
55,2002-02-24,2.80619488,,,,,
56,2002-02-25,2.42391808,,,,,
57,2002-02-26,2.28516576,,,,,
58,2002-02-27,2.70991776,,,,,
59,2002-02-28,3.4263328,,,,,
60,2002-03-01,2.82318496,,,,,
61,2002-03-02,2.3786112,,,,,
62,2002-03-03,4.7005888,,,,,
63,2002-03-04,8.778208,,,,,
64,2002-03-05,6.0597952,,,,,
65,2002-03-06,4.0209856,,,,,
66,2002-03-07,3.5396,,,,,
67,2002-03-08,3.0298976,,,,,
68,2002-03-09,2.78637312,,,,,
69,2002-03-10,4.3607872,,,,,
70,2002-03-11,6.1447456,,,,,
71,2002-03-12,4.7005888,,,,,
72,2002-03-13,3.822768,,,,,
73,2002-03-14,3.4829664,,,,,
74,2002-03-15,3.114848,,,,,
75,2002-03-16,2.82884832,,,,,
76,2002-03-17,2.5768288,,,,,
77,2002-03-18,2.38144288,,,,,
78,2002-03-19,2.31348256,,,,,
79,2002-03-20,2.28233408,,,,,
80,2002-03-21,2.67876928,,,,,
81,2002-03-22,3.2281152,,,,,
82,2002-03-23,2.8599968,,,,,
83,2002-03-24,2.6476208,,,,,
84,2002-03-25,2.62779904,,,,,
85,2002-03-26,2.69859104,,,,,
86,2002-03-27,8.0136544,,,,,
87,2002-03-28,12.3461248,,,,,
88,2002-03-29,10.052464,,,,,
89,2002-03-30,8.2685056,,,,,
90,2002-03-31,8.778208,,,,,
91,2002-04-01,8.9481088,,,,,
92,2002-04-02,10.194048,,,,,
93,2002-04-03,7.6738528,,,,,
94,2002-04-04,7.1924672,,,,,
95,2002-04-05,6.2863296,,,,,
96,2002-04-06,5.1819744,,,,,
97,2002-04-07,4.4174208,,,,,
98,2002-04-08,3.8794016,,,,,
99,2002-04-09,3.6245504,,,,,
100,2002-04-10,3.4829664,,,,,
101,2002-04-11,3.1714816,,,,,
102,2002-04-12,2.8883136,,,,,
103,2002-04-13,2.75805632,,,,,
104,2002-04-14,3.4829664,,,,,
105,2002-04-15,5.1253408,,,,,
106,2002-04-16,6.7677152,,,,,
107,2002-04-17,5.4934592,,,,,
108,2002-04-18,4.3607872,,,,,
109,2002-04-19,3.6528672,,,,,
110,2002-04-20,3.3130656,,,,,
111,2002-04-21,2.9166304,,,,,
112,2002-04-22,2.57399712,,,,,
113,2002-04-23,2.4918784,,,,,
114,2002-04-24,2.4494032,,,,,
115,2002-04-25,2.42674976,,,,,
116,2002-04-26,3.681184,,,,,
117,2002-04-27,5.0403904,,,,,
118,2002-04-28,4.530688,,,,,
119,2002-04-29,5.4085088,,,,,
120,2002-04-30,6.37128,,,,,
