BHID,LANDUSE,UserInput_CN2,Area.ha.Input.std,SWATCalc_CN2,LULC,FIMP,FPervious,BHCalcCN2,QA_Does_SWATCalc_Match_BHCalc
1,URHD,61,0.28,93.89,BERM,0.889,0.111,93.89,TRUE
2,URHD,61,0.09,93.89,BERM,0.889,0.111,93.89,TRUE
3,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
4,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
5,URML,61,0.85,69.23,BERM,0.275,0.725,69.23,TRUE
6,URML,61,1.51,69.23,BERM,0.275,0.725,69.23,TRUE
7,URML,61,6.44,69.23,BERM,0.275,0.725,69.23,TRUE
8,URML,61,0.76,69.23,BERM,0.275,0.725,69.23,TRUE
9,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
10,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
11,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
12,URML,61,0.09,69.23,BERM,0.275,0.725,69.23,TRUE
13,URML,61,5.77,69.23,BERM,0.275,0.725,69.23,TRUE
14,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
15,URML,61,1.14,69.23,BERM,0.275,0.725,69.23,TRUE
16,URML,61,19.12,69.23,BERM,0.275,0.725,69.23,TRUE
17,URML,61,12.5,69.23,BERM,0.275,0.725,69.23,TRUE
18,URML,61,0.57,69.23,BERM,0.275,0.725,69.23,TRUE
19,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
20,URML,61,4.17,69.23,BERM,0.275,0.725,69.23,TRUE
21,URML,61,1.89,69.23,BERM,0.275,0.725,69.23,TRUE
22,URML,61,2.84,69.23,BERM,0.275,0.725,69.23,TRUE
23,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
24,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
25,URML,61,0.57,69.23,BERM,0.275,0.725,69.23,TRUE
26,URML,61,1.04,69.23,BERM,0.275,0.725,69.23,TRUE
27,URML,74,1.33,79.34,BERM,0.275,0.725,79.34,TRUE
28,URML,74,0.09,79.34,BERM,0.275,0.725,79.34,TRUE
29,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
