year,city,country,avg_temp,avg_temp10ma
1850,Ho Chi Minh City,Vietnam,26.65,
1851,Ho Chi Minh City,Vietnam,26.82,
1852,Ho Chi Minh City,Vietnam,26.7,
1853,Ho Chi Minh City,Vietnam,26.87,
1854,Ho Chi Minh City,Vietnam,26.89,
1855,Ho Chi Minh City,Vietnam,26.76,
1856,Ho Chi Minh City,Vietnam,26.53,
1857,Ho Chi Minh City,Vietnam,26.51,
1858,Ho Chi Minh City,Vietnam,26.83,
1859,Ho Chi Minh City,Vietnam,26.88,26.744
1860,Ho Chi Minh City,Vietnam,26.69,26.748
1861,Ho Chi Minh City,Vietnam,26.58,26.724
1862,Ho Chi Minh City,Vietnam,24.85,26.539
1863,Ho Chi Minh City,Vietnam,26.67,26.519
1864,Ho Chi Minh City,Vietnam,26.52,26.482
1865,Ho Chi Minh City,Vietnam,26.89,26.495
1866,Ho Chi Minh City,Vietnam,26.84,26.526
1867,Ho Chi Minh City,Vietnam,26.86,26.561
1868,Ho Chi Minh City,Vietnam,27.06,26.584
1869,Ho Chi Minh City,Vietnam,26.64,26.56
1870,Ho Chi Minh City,Vietnam,26.51,26.542
1871,Ho Chi Minh City,Vietnam,26.54,26.538
1872,Ho Chi Minh City,Vietnam,26.87,26.74
1873,Ho Chi Minh City,Vietnam,26.95,26.768
1874,Ho Chi Minh City,Vietnam,27.03,26.819
1875,Ho Chi Minh City,Vietnam,26.52,26.782
1876,Ho Chi Minh City,Vietnam,26.4,26.738
1877,Ho Chi Minh City,Vietnam,27.15,26.767
1878,Ho Chi Minh City,Vietnam,27.44,26.805
1879,Ho Chi Minh City,Vietnam,26.76,26.817
1880,Ho Chi Minh City,Vietnam,26.75,26.841
1881,Ho Chi Minh City,Vietnam,26.89,26.876
1882,Ho Chi Minh City,Vietnam,26.84,26.873
1883,Ho Chi Minh City,Vietnam,26.67,26.845
1884,Ho Chi Minh City,Vietnam,26.4,26.782
1885,Ho Chi Minh City,Vietnam,26.87,26.817
1886,Ho Chi Minh City,Vietnam,26.65,26.842
1887,Ho Chi Minh City,Vietnam,26.34,26.761
1888,Ho Chi Minh City,Vietnam,27.04,26.721
1889,Ho Chi Minh City,Vietnam,27.12,26.757
1890,Ho Chi Minh City,Vietnam,26.72,26.754
1891,Ho Chi Minh City,Vietnam,26.93,26.758
1892,Ho Chi Minh City,Vietnam,26.36,26.71
1893,Ho Chi Minh City,Vietnam,26.38,26.681
1894,Ho Chi Minh City,Vietnam,26.59,26.7
1895,Ho Chi Minh City,Vietnam,26.91,26.704
1896,Ho Chi Minh City,Vietnam,26.94,26.733
1897,Ho Chi Minh City,Vietnam,27.39,26.838
1898,Ho Chi Minh City,Vietnam,26.77,26.811
1899,Ho Chi Minh City,Vietnam,26.7,26.769
1900,Ho Chi Minh City,Vietnam,27.24,26.821
1901,Ho Chi Minh City,Vietnam,26.94,26.822
1902,Ho Chi Minh City,Vietnam,26.92,26.878
1903,Ho Chi Minh City,Vietnam,27.06,26.946
1904,Ho Chi Minh City,Vietnam,26.73,26.96
1905,Ho Chi Minh City,Vietnam,27.32,27.001
1906,Ho Chi Minh City,Vietnam,27.26,27.033
1907,Ho Chi Minh City,Vietnam,26.95,26.989
1908,Ho Chi Minh City,Vietnam,26.77,26.989
1909,Ho Chi Minh City,Vietnam,26.96,27.015
1910,Ho Chi Minh City,Vietnam,26.98,26.989
1911,Ho Chi Minh City,Vietnam,27.28,27.023
1912,Ho Chi Minh City,Vietnam,27.56,27.087
1913,Ho Chi Minh City,Vietnam,26.92,27.073
1914,Ho Chi Minh City,Vietnam,27.31,27.131
1915,Ho Chi Minh City,Vietnam,27.32,27.131
1916,Ho Chi Minh City,Vietnam,26.52,27.057
1917,Ho Chi Minh City,Vietnam,26.54,27.016
1918,Ho Chi Minh City,Vietnam,26.7,27.009
1919,Ho Chi Minh City,Vietnam,27.33,27.046
1920,Ho Chi Minh City,Vietnam,27.08,27.056
1921,Ho Chi Minh City,Vietnam,26.82,27.01
1922,Ho Chi Minh City,Vietnam,27.08,26.962
1923,Ho Chi Minh City,Vietnam,26.98,26.968
1924,Ho Chi Minh City,Vietnam,27.12,26.949
1925,Ho Chi Minh City,Vietnam,26.87,26.904
1926,Ho Chi Minh City,Vietnam,27.4,26.992
1927,Ho Chi Minh City,Vietnam,27.14,27.052
1928,Ho Chi Minh City,Vietnam,26.82,27.064
1929,Ho Chi Minh City,Vietnam,26.8,27.011
1930,Ho Chi Minh City,Vietnam,27.29,27.032
1931,Ho Chi Minh City,Vietnam,27.54,27.104
1932,Ho Chi Minh City,Vietnam,26.98,27.094
1933,Ho Chi Minh City,Vietnam,27.2,27.116
1934,Ho Chi Minh City,Vietnam,26.91,27.095
1935,Ho Chi Minh City,Vietnam,27.43,27.151
1936,Ho Chi Minh City,Vietnam,27.51,27.162
1937,Ho Chi Minh City,Vietnam,27.56,27.204
1938,Ho Chi Minh City,Vietnam,27.36,27.258
1939,Ho Chi Minh City,Vietnam,27.23,27.301
1940,Ho Chi Minh City,Vietnam,27.4,27.312
1941,Ho Chi Minh City,Vietnam,28.04,27.362
1942,Ho Chi Minh City,Vietnam,27.34,27.398
1943,Ho Chi Minh City,Vietnam,26.87,27.365
1944,Ho Chi Minh City,Vietnam,27.16,27.39
1945,Ho Chi Minh City,Vietnam,27.23,27.37
1946,Ho Chi Minh City,Vietnam,27.81,27.4
